Test set: Epoch: 1, Average loss: 0.0313, Accuracy: 0.1007, Time consumed:2.28s
Test set: Epoch: 2, Average loss: 0.0254, Accuracy: 0.1983, Time consumed:3.00s
Test set: Epoch: 3, Average loss: 0.0472, Accuracy: 0.1288, Time consumed:2.86s
Test set: Epoch: 4, Average loss: 0.0225, Accuracy: 0.2678, Time consumed:3.04s
Test set: Epoch: 5, Average loss: 0.0203, Accuracy: 0.3265, Time consumed:2.77s
Test set: Epoch: 6, Average loss: 0.0214, Accuracy: 0.3094, Time consumed:2.86s
Test set: Epoch: 7, Average loss: 0.0230, Accuracy: 0.2854, Time consumed:3.04s
Test set: Epoch: 8, Average loss: 0.0212, Accuracy: 0.3318, Time consumed:2.54s
Test set: Epoch: 9, Average loss: 0.0176, Accuracy: 0.4194, Time consumed:2.88s
Test set: Epoch: 10, Average loss: 0.0216, Accuracy: 0.3265, Time consumed:2.87s
Test set: Epoch: 11, Average loss: 0.0213, Accuracy: 0.3409, Time consumed:2.96s
Test set: Epoch: 12, Average loss: 0.0183, Accuracy: 0.4093, Time consumed:2.99s
Test set: Epoch: 13, Average loss: 0.0227, Accuracy: 0.3125, Time consumed:2.90s
Test set: Epoch: 14, Average loss: 0.0185, Accuracy: 0.3916, Time consumed:2.86s
Test set: Epoch: 15, Average loss: 0.0217, Accuracy: 0.3233, Time consumed:2.25s
Test set: Epoch: 16, Average loss: 0.0168, Accuracy: 0.4465, Time consumed:2.85s
Test set: Epoch: 17, Average loss: 0.0173, Accuracy: 0.4316, Time consumed:2.91s
Test set: Epoch: 18, Average loss: 0.0182, Accuracy: 0.4196, Time consumed:2.90s
Test set: Epoch: 19, Average loss: 0.0180, Accuracy: 0.4253, Time consumed:2.96s
Test set: Epoch: 20, Average loss: 0.0200, Accuracy: 0.3907, Time consumed:2.73s
Test set: Epoch: 21, Average loss: 0.0170, Accuracy: 0.4467, Time consumed:2.80s
Test set: Epoch: 22, Average loss: 0.0166, Accuracy: 0.4586, Time consumed:2.89s
Test set: Epoch: 23, Average loss: 0.0165, Accuracy: 0.4706, Time consumed:2.88s
Test set: Epoch: 24, Average loss: 0.0164, Accuracy: 0.4574, Time consumed:2.34s
Test set: Epoch: 25, Average loss: 0.0160, Accuracy: 0.4728, Time consumed:2.84s
Test set: Epoch: 26, Average loss: 0.0209, Accuracy: 0.3856, Time consumed:2.90s
Test set: Epoch: 27, Average loss: 0.0169, Accuracy: 0.4510, Time consumed:2.95s
Test set: Epoch: 28, Average loss: 0.0168, Accuracy: 0.4428, Time consumed:2.90s
Test set: Epoch: 29, Average loss: 0.0176, Accuracy: 0.4399, Time consumed:2.86s
Test set: Epoch: 30, Average loss: 0.0170, Accuracy: 0.4465, Time consumed:2.83s
Test set: Epoch: 31, Average loss: 0.0191, Accuracy: 0.3927, Time consumed:2.87s
Test set: Epoch: 32, Average loss: 0.0201, Accuracy: 0.3831, Time consumed:2.89s
Test set: Epoch: 33, Average loss: 0.0213, Accuracy: 0.3585, Time consumed:2.89s
Test set: Epoch: 34, Average loss: 0.0191, Accuracy: 0.4041, Time consumed:2.99s
Test set: Epoch: 35, Average loss: 0.0207, Accuracy: 0.3676, Time consumed:2.71s
Test set: Epoch: 36, Average loss: 0.0194, Accuracy: 0.3914, Time consumed:2.50s
Test set: Epoch: 37, Average loss: 0.0174, Accuracy: 0.4467, Time consumed:2.98s
Test set: Epoch: 38, Average loss: 0.0176, Accuracy: 0.4396, Time consumed:2.96s
Test set: Epoch: 39, Average loss: 0.0163, Accuracy: 0.4721, Time consumed:3.04s
Test set: Epoch: 40, Average loss: 0.0185, Accuracy: 0.4144, Time consumed:3.03s
Test set: Epoch: 41, Average loss: 0.0182, Accuracy: 0.4251, Time consumed:3.01s
Test set: Epoch: 42, Average loss: 0.0176, Accuracy: 0.4385, Time consumed:2.99s
Test set: Epoch: 43, Average loss: 0.0189, Accuracy: 0.4034, Time consumed:2.25s
Test set: Epoch: 44, Average loss: 0.0201, Accuracy: 0.3778, Time consumed:2.74s
Test set: Epoch: 45, Average loss: 0.0192, Accuracy: 0.4044, Time consumed:2.98s
Test set: Epoch: 46, Average loss: 0.0217, Accuracy: 0.3360, Time consumed:2.31s
Test set: Epoch: 47, Average loss: 0.0158, Accuracy: 0.4885, Time consumed:2.93s
Test set: Epoch: 48, Average loss: 0.0225, Accuracy: 0.3322, Time consumed:2.86s
Test set: Epoch: 49, Average loss: 0.0183, Accuracy: 0.4266, Time consumed:2.87s
Test set: Epoch: 50, Average loss: 0.0189, Accuracy: 0.4073, Time consumed:2.24s
Test set: Epoch: 51, Average loss: 0.0185, Accuracy: 0.4236, Time consumed:3.02s
Test set: Epoch: 52, Average loss: 0.0176, Accuracy: 0.4374, Time consumed:2.91s
Test set: Epoch: 53, Average loss: 0.0201, Accuracy: 0.3700, Time consumed:2.31s
Test set: Epoch: 54, Average loss: 0.0274, Accuracy: 0.2464, Time consumed:2.89s
Test set: Epoch: 55, Average loss: 0.0196, Accuracy: 0.3808, Time consumed:2.85s
Test set: Epoch: 56, Average loss: 0.0198, Accuracy: 0.3939, Time consumed:2.82s
Test set: Epoch: 57, Average loss: 0.0197, Accuracy: 0.3920, Time consumed:3.17s
Test set: Epoch: 58, Average loss: 0.0238, Accuracy: 0.3162, Time consumed:2.51s
Test set: Epoch: 59, Average loss: 0.0218, Accuracy: 0.3516, Time consumed:2.85s
Test set: Epoch: 60, Average loss: 0.0100, Accuracy: 0.6619, Time consumed:2.87s
Test set: Epoch: 61, Average loss: 0.0103, Accuracy: 0.6496, Time consumed:2.90s
Test set: Epoch: 62, Average loss: 0.0096, Accuracy: 0.6706, Time consumed:2.43s
Test set: Epoch: 63, Average loss: 0.0096, Accuracy: 0.6718, Time consumed:2.77s
Test set: Epoch: 64, Average loss: 0.0095, Accuracy: 0.6739, Time consumed:2.78s
Test set: Epoch: 65, Average loss: 0.0100, Accuracy: 0.6584, Time consumed:1.79s
Test set: Epoch: 66, Average loss: 0.0098, Accuracy: 0.6744, Time consumed:2.14s
Test set: Epoch: 67, Average loss: 0.0095, Accuracy: 0.6762, Time consumed:2.85s
Test set: Epoch: 68, Average loss: 0.0099, Accuracy: 0.6690, Time consumed:2.84s
Test set: Epoch: 69, Average loss: 0.0102, Accuracy: 0.6523, Time consumed:2.20s
Test set: Epoch: 70, Average loss: 0.0100, Accuracy: 0.6664, Time consumed:3.00s
Test set: Epoch: 71, Average loss: 0.0100, Accuracy: 0.6650, Time consumed:2.89s
Test set: Epoch: 72, Average loss: 0.0100, Accuracy: 0.6683, Time consumed:2.89s
Test set: Epoch: 73, Average loss: 0.0101, Accuracy: 0.6619, Time consumed:2.82s
Test set: Epoch: 74, Average loss: 0.0103, Accuracy: 0.6608, Time consumed:2.43s
Test set: Epoch: 75, Average loss: 0.0107, Accuracy: 0.6514, Time consumed:2.92s
Test set: Epoch: 76, Average loss: 0.0106, Accuracy: 0.6539, Time consumed:2.97s
Test set: Epoch: 77, Average loss: 0.0118, Accuracy: 0.6140, Time consumed:3.01s
Test set: Epoch: 78, Average loss: 0.0107, Accuracy: 0.6463, Time consumed:2.94s
Test set: Epoch: 79, Average loss: 0.0105, Accuracy: 0.6614, Time consumed:3.01s
Test set: Epoch: 80, Average loss: 0.0109, Accuracy: 0.6444, Time consumed:2.84s
Test set: Epoch: 81, Average loss: 0.0105, Accuracy: 0.6448, Time consumed:2.74s
Test set: Epoch: 82, Average loss: 0.0111, Accuracy: 0.6356, Time consumed:2.43s
Test set: Epoch: 83, Average loss: 0.0106, Accuracy: 0.6519, Time consumed:2.98s
Test set: Epoch: 84, Average loss: 0.0105, Accuracy: 0.6504, Time consumed:2.96s
Test set: Epoch: 85, Average loss: 0.0104, Accuracy: 0.6566, Time consumed:3.04s
Test set: Epoch: 86, Average loss: 0.0108, Accuracy: 0.6465, Time consumed:2.97s
Test set: Epoch: 87, Average loss: 0.0112, Accuracy: 0.6390, Time consumed:3.08s
Test set: Epoch: 88, Average loss: 0.0104, Accuracy: 0.6616, Time consumed:3.13s
Test set: Epoch: 89, Average loss: 0.0113, Accuracy: 0.6329, Time consumed:2.23s
Test set: Epoch: 90, Average loss: 0.0100, Accuracy: 0.6665, Time consumed:2.85s
Test set: Epoch: 91, Average loss: 0.0103, Accuracy: 0.6673, Time consumed:2.82s
Test set: Epoch: 92, Average loss: 0.0109, Accuracy: 0.6451, Time consumed:2.68s
