Test set: Epoch: 1, Average loss: 0.0337, Accuracy: 0.0670, Time consumed:2.88s
Test set: Epoch: 2, Average loss: 0.0319, Accuracy: 0.0947, Time consumed:2.97s
Test set: Epoch: 3, Average loss: 0.0293, Accuracy: 0.1384, Time consumed:3.12s
Test set: Epoch: 4, Average loss: 0.0289, Accuracy: 0.1460, Time consumed:2.94s
Test set: Epoch: 5, Average loss: 0.0281, Accuracy: 0.1831, Time consumed:2.90s
Test set: Epoch: 6, Average loss: 0.0266, Accuracy: 0.2244, Time consumed:2.35s
Test set: Epoch: 7, Average loss: 0.0249, Accuracy: 0.2533, Time consumed:2.84s
Test set: Epoch: 8, Average loss: 0.0254, Accuracy: 0.2380, Time consumed:2.88s
Test set: Epoch: 9, Average loss: 0.0248, Accuracy: 0.2663, Time consumed:2.87s
Test set: Epoch: 10, Average loss: 0.0252, Accuracy: 0.2340, Time consumed:2.97s
Test set: Epoch: 11, Average loss: 0.0253, Accuracy: 0.2392, Time consumed:2.87s
Test set: Epoch: 12, Average loss: 0.0238, Accuracy: 0.2856, Time consumed:2.80s
Test set: Epoch: 13, Average loss: 0.0240, Accuracy: 0.2821, Time consumed:2.89s
Test set: Epoch: 14, Average loss: 0.0227, Accuracy: 0.3483, Time consumed:2.91s
Test set: Epoch: 15, Average loss: 0.0228, Accuracy: 0.3144, Time consumed:2.90s
Test set: Epoch: 16, Average loss: 0.0280, Accuracy: 0.1976, Time consumed:2.90s
Test set: Epoch: 17, Average loss: 0.0219, Accuracy: 0.3539, Time consumed:2.33s
Test set: Epoch: 18, Average loss: 0.0245, Accuracy: 0.2701, Time consumed:2.22s
Test set: Epoch: 19, Average loss: 0.0229, Accuracy: 0.3232, Time consumed:2.56s
Test set: Epoch: 20, Average loss: 0.0233, Accuracy: 0.2923, Time consumed:2.88s
Test set: Epoch: 21, Average loss: 0.0240, Accuracy: 0.2886, Time consumed:2.91s
Test set: Epoch: 22, Average loss: 0.0234, Accuracy: 0.3114, Time consumed:2.79s
Test set: Epoch: 23, Average loss: 0.0224, Accuracy: 0.3299, Time consumed:3.01s
Test set: Epoch: 24, Average loss: 0.0215, Accuracy: 0.3698, Time consumed:2.78s
Test set: Epoch: 25, Average loss: 0.0222, Accuracy: 0.3402, Time consumed:2.87s
Test set: Epoch: 26, Average loss: 0.0219, Accuracy: 0.3520, Time consumed:2.98s
Test set: Epoch: 27, Average loss: 0.0217, Accuracy: 0.3701, Time consumed:2.94s
Test set: Epoch: 28, Average loss: 0.0212, Accuracy: 0.3725, Time consumed:2.85s
Test set: Epoch: 29, Average loss: 0.0224, Accuracy: 0.3384, Time consumed:2.23s
Test set: Epoch: 30, Average loss: 0.0215, Accuracy: 0.3794, Time consumed:2.90s
Test set: Epoch: 31, Average loss: 0.0231, Accuracy: 0.3166, Time consumed:2.81s
Test set: Epoch: 32, Average loss: 0.0206, Accuracy: 0.3794, Time consumed:3.00s
Test set: Epoch: 33, Average loss: 0.0235, Accuracy: 0.3119, Time consumed:2.90s
Test set: Epoch: 34, Average loss: 0.0214, Accuracy: 0.3697, Time consumed:2.85s
Test set: Epoch: 35, Average loss: 0.0254, Accuracy: 0.2791, Time consumed:2.38s
Test set: Epoch: 36, Average loss: 0.0216, Accuracy: 0.3779, Time consumed:2.98s
Test set: Epoch: 37, Average loss: 0.0242, Accuracy: 0.2844, Time consumed:3.05s
Test set: Epoch: 38, Average loss: 0.0210, Accuracy: 0.3735, Time consumed:2.86s
Test set: Epoch: 39, Average loss: 0.0229, Accuracy: 0.3264, Time consumed:2.15s
Test set: Epoch: 40, Average loss: 0.0232, Accuracy: 0.3273, Time consumed:2.96s
Test set: Epoch: 41, Average loss: 0.0220, Accuracy: 0.3689, Time consumed:2.78s
Test set: Epoch: 42, Average loss: 0.0221, Accuracy: 0.3496, Time consumed:2.56s
Test set: Epoch: 43, Average loss: 0.0216, Accuracy: 0.3509, Time consumed:2.99s
Test set: Epoch: 44, Average loss: 0.0231, Accuracy: 0.3557, Time consumed:3.02s
Test set: Epoch: 45, Average loss: 0.0219, Accuracy: 0.3442, Time consumed:2.88s
Test set: Epoch: 46, Average loss: 0.0256, Accuracy: 0.2650, Time consumed:2.88s
Test set: Epoch: 47, Average loss: 0.0217, Accuracy: 0.3632, Time consumed:2.19s
Test set: Epoch: 48, Average loss: 0.0225, Accuracy: 0.3381, Time consumed:2.45s
Test set: Epoch: 49, Average loss: 0.0235, Accuracy: 0.3288, Time consumed:2.92s
Test set: Epoch: 50, Average loss: 0.0215, Accuracy: 0.3831, Time consumed:2.92s
Test set: Epoch: 51, Average loss: 0.0235, Accuracy: 0.3165, Time consumed:3.02s
Test set: Epoch: 52, Average loss: 0.0222, Accuracy: 0.3642, Time consumed:2.80s
Test set: Epoch: 53, Average loss: 0.0234, Accuracy: 0.3149, Time consumed:2.82s
Test set: Epoch: 54, Average loss: 0.0212, Accuracy: 0.3919, Time consumed:2.72s
Test set: Epoch: 55, Average loss: 0.0230, Accuracy: 0.3303, Time consumed:3.02s
Test set: Epoch: 56, Average loss: 0.0247, Accuracy: 0.2883, Time consumed:2.89s
Test set: Epoch: 57, Average loss: 0.0235, Accuracy: 0.3165, Time consumed:2.86s
Test set: Epoch: 58, Average loss: 0.0232, Accuracy: 0.3315, Time consumed:2.96s
Test set: Epoch: 59, Average loss: 0.0217, Accuracy: 0.3720, Time consumed:1.81s
Test set: Epoch: 60, Average loss: 0.0148, Accuracy: 0.5923, Time consumed:1.77s
Test set: Epoch: 61, Average loss: 0.0148, Accuracy: 0.5928, Time consumed:1.71s
Test set: Epoch: 62, Average loss: 0.0142, Accuracy: 0.6099, Time consumed:1.64s
Test set: Epoch: 63, Average loss: 0.0144, Accuracy: 0.6073, Time consumed:1.83s
Test set: Epoch: 64, Average loss: 0.0145, Accuracy: 0.6150, Time consumed:1.76s
Test set: Epoch: 65, Average loss: 0.0143, Accuracy: 0.6161, Time consumed:1.75s
Test set: Epoch: 66, Average loss: 0.0145, Accuracy: 0.6026, Time consumed:1.81s
Test set: Epoch: 67, Average loss: 0.0139, Accuracy: 0.6243, Time consumed:1.72s
Test set: Epoch: 68, Average loss: 0.0141, Accuracy: 0.6113, Time consumed:1.69s
Test set: Epoch: 69, Average loss: 0.0141, Accuracy: 0.6176, Time consumed:1.75s
Test set: Epoch: 70, Average loss: 0.0147, Accuracy: 0.5960, Time consumed:1.82s
Test set: Epoch: 71, Average loss: 0.0148, Accuracy: 0.5884, Time consumed:1.71s
