Test set: Epoch: 1, Average loss: 0.0307, Accuracy: 0.0920, Time consumed:5.96s
Test set: Epoch: 2, Average loss: 0.0280, Accuracy: 0.1534, Time consumed:5.81s
Test set: Epoch: 3, Average loss: 0.0243, Accuracy: 0.2371, Time consumed:5.80s
Test set: Epoch: 4, Average loss: 0.0205, Accuracy: 0.3390, Time consumed:5.93s
Test set: Epoch: 5, Average loss: 0.0194, Accuracy: 0.3627, Time consumed:6.00s
Test set: Epoch: 6, Average loss: 0.0164, Accuracy: 0.4445, Time consumed:5.93s
Test set: Epoch: 7, Average loss: 0.0155, Accuracy: 0.4709, Time consumed:5.91s
Test set: Epoch: 8, Average loss: 0.0167, Accuracy: 0.4460, Time consumed:5.92s
Test set: Epoch: 9, Average loss: 0.0153, Accuracy: 0.4895, Time consumed:5.98s
Test set: Epoch: 10, Average loss: 0.0154, Accuracy: 0.4848, Time consumed:6.19s
Test set: Epoch: 11, Average loss: 0.0179, Accuracy: 0.4216, Time consumed:5.98s
Test set: Epoch: 12, Average loss: 0.0146, Accuracy: 0.4993, Time consumed:5.99s
Test set: Epoch: 13, Average loss: 0.0136, Accuracy: 0.5282, Time consumed:5.84s
Test set: Epoch: 14, Average loss: 0.0159, Accuracy: 0.4852, Time consumed:5.94s
Test set: Epoch: 15, Average loss: 0.0158, Accuracy: 0.4919, Time consumed:5.89s
Test set: Epoch: 16, Average loss: 0.0132, Accuracy: 0.5478, Time consumed:5.79s
Test set: Epoch: 17, Average loss: 0.0145, Accuracy: 0.5296, Time consumed:5.90s
Test set: Epoch: 18, Average loss: 0.0144, Accuracy: 0.5136, Time consumed:5.81s
Test set: Epoch: 19, Average loss: 0.0129, Accuracy: 0.5488, Time consumed:6.00s
Test set: Epoch: 20, Average loss: 0.0138, Accuracy: 0.5343, Time consumed:6.08s
Test set: Epoch: 21, Average loss: 0.0140, Accuracy: 0.5294, Time consumed:5.77s
