Test set: Epoch: 1, Average loss: 0.0326, Accuracy: 0.0602, Time consumed:7.97s
Test set: Epoch: 2, Average loss: 0.0310, Accuracy: 0.0861, Time consumed:8.41s
Test set: Epoch: 3, Average loss: 0.0286, Accuracy: 0.1410, Time consumed:8.05s
Test set: Epoch: 4, Average loss: 0.0276, Accuracy: 0.1622, Time consumed:8.17s
Test set: Epoch: 5, Average loss: 0.0260, Accuracy: 0.2194, Time consumed:8.23s
Test set: Epoch: 6, Average loss: 0.0236, Accuracy: 0.2678, Time consumed:8.13s
Test set: Epoch: 7, Average loss: 0.0219, Accuracy: 0.3079, Time consumed:8.06s
Test set: Epoch: 8, Average loss: 0.0235, Accuracy: 0.3135, Time consumed:8.00s
Test set: Epoch: 9, Average loss: 0.0207, Accuracy: 0.3481, Time consumed:8.29s
Test set: Epoch: 10, Average loss: 0.0197, Accuracy: 0.3703, Time consumed:8.09s
Test set: Epoch: 11, Average loss: 0.0187, Accuracy: 0.3964, Time consumed:7.98s
Test set: Epoch: 12, Average loss: 0.0198, Accuracy: 0.3707, Time consumed:8.04s
Test set: Epoch: 13, Average loss: 0.0208, Accuracy: 0.3520, Time consumed:8.10s
Test set: Epoch: 14, Average loss: 0.0176, Accuracy: 0.4261, Time consumed:8.37s
Test set: Epoch: 15, Average loss: 0.0186, Accuracy: 0.4059, Time consumed:8.36s
Test set: Epoch: 16, Average loss: 0.0182, Accuracy: 0.4130, Time consumed:8.08s
Test set: Epoch: 17, Average loss: 0.0174, Accuracy: 0.4481, Time consumed:8.07s
Test set: Epoch: 18, Average loss: 0.0182, Accuracy: 0.4111, Time consumed:8.04s
Test set: Epoch: 19, Average loss: 0.0169, Accuracy: 0.4616, Time consumed:7.89s
Test set: Epoch: 20, Average loss: 0.0156, Accuracy: 0.5072, Time consumed:8.04s
Test set: Epoch: 21, Average loss: 0.0165, Accuracy: 0.4691, Time consumed:7.98s
Test set: Epoch: 22, Average loss: 0.0163, Accuracy: 0.4739, Time consumed:8.15s
Test set: Epoch: 23, Average loss: 0.0170, Accuracy: 0.4588, Time consumed:8.12s
Test set: Epoch: 24, Average loss: 0.0159, Accuracy: 0.4805, Time consumed:7.97s
Test set: Epoch: 25, Average loss: 0.0176, Accuracy: 0.4395, Time consumed:8.03s
Test set: Epoch: 26, Average loss: 0.0173, Accuracy: 0.4553, Time consumed:8.00s
Test set: Epoch: 27, Average loss: 0.0170, Accuracy: 0.4719, Time consumed:8.02s
Test set: Epoch: 28, Average loss: 0.0168, Accuracy: 0.4618, Time consumed:8.04s
Test set: Epoch: 29, Average loss: 0.0164, Accuracy: 0.4686, Time consumed:8.06s
Test set: Epoch: 30, Average loss: 0.0163, Accuracy: 0.4828, Time consumed:8.14s
Test set: Epoch: 31, Average loss: 0.0159, Accuracy: 0.4967, Time consumed:7.82s
Test set: Epoch: 32, Average loss: 0.0164, Accuracy: 0.4723, Time consumed:8.16s
Test set: Epoch: 33, Average loss: 0.0167, Accuracy: 0.4725, Time consumed:7.96s
Test set: Epoch: 34, Average loss: 0.0157, Accuracy: 0.4960, Time consumed:8.19s
Test set: Epoch: 35, Average loss: 0.0164, Accuracy: 0.4777, Time consumed:8.17s
