Test set: Epoch: 1, Average loss: 0.0325, Accuracy: 0.0649, Time consumed:1.63s
Test set: Epoch: 2, Average loss: 0.0269, Accuracy: 0.1674, Time consumed:1.77s
Test set: Epoch: 3, Average loss: 0.0246, Accuracy: 0.2273, Time consumed:1.81s
Test set: Epoch: 4, Average loss: 0.0227, Accuracy: 0.2729, Time consumed:1.67s
Test set: Epoch: 5, Average loss: 0.0206, Accuracy: 0.3305, Time consumed:1.76s
Test set: Epoch: 6, Average loss: 0.0210, Accuracy: 0.3313, Time consumed:1.77s
Test set: Epoch: 7, Average loss: 0.0196, Accuracy: 0.3569, Time consumed:1.69s
Test set: Epoch: 8, Average loss: 0.0203, Accuracy: 0.3396, Time consumed:1.67s
Test set: Epoch: 9, Average loss: 0.0194, Accuracy: 0.3725, Time consumed:1.71s
Test set: Epoch: 10, Average loss: 0.0178, Accuracy: 0.4118, Time consumed:1.79s
Test set: Epoch: 11, Average loss: 0.0193, Accuracy: 0.3838, Time consumed:1.65s
Test set: Epoch: 12, Average loss: 0.0187, Accuracy: 0.3892, Time consumed:1.64s
Test set: Epoch: 13, Average loss: 0.0223, Accuracy: 0.3084, Time consumed:1.69s
Test set: Epoch: 14, Average loss: 0.0211, Accuracy: 0.3499, Time consumed:1.67s
Test set: Epoch: 15, Average loss: 0.0185, Accuracy: 0.4103, Time consumed:1.81s
Test set: Epoch: 16, Average loss: 0.0208, Accuracy: 0.3577, Time consumed:1.81s
Test set: Epoch: 17, Average loss: 0.0169, Accuracy: 0.4521, Time consumed:1.78s
Test set: Epoch: 18, Average loss: 0.0181, Accuracy: 0.4112, Time consumed:1.67s
Test set: Epoch: 19, Average loss: 0.0184, Accuracy: 0.4212, Time consumed:1.79s
Test set: Epoch: 20, Average loss: 0.0215, Accuracy: 0.3511, Time consumed:1.84s
Test set: Epoch: 21, Average loss: 0.0169, Accuracy: 0.4512, Time consumed:1.68s
Test set: Epoch: 22, Average loss: 0.0188, Accuracy: 0.4078, Time consumed:1.78s
Test set: Epoch: 23, Average loss: 0.0173, Accuracy: 0.4479, Time consumed:1.72s
Test set: Epoch: 24, Average loss: 0.0166, Accuracy: 0.4575, Time consumed:1.76s
Test set: Epoch: 25, Average loss: 0.0201, Accuracy: 0.3819, Time consumed:1.75s
Test set: Epoch: 26, Average loss: 0.0171, Accuracy: 0.4354, Time consumed:1.72s
Test set: Epoch: 27, Average loss: 0.0165, Accuracy: 0.4642, Time consumed:1.77s
Test set: Epoch: 28, Average loss: 0.0162, Accuracy: 0.4726, Time consumed:1.57s
Test set: Epoch: 29, Average loss: 0.0183, Accuracy: 0.4165, Time consumed:1.75s
Test set: Epoch: 30, Average loss: 0.0283, Accuracy: 0.2268, Time consumed:1.79s
Test set: Epoch: 31, Average loss: 0.0174, Accuracy: 0.4490, Time consumed:1.75s
Test set: Epoch: 32, Average loss: 0.0192, Accuracy: 0.4122, Time consumed:1.77s
Test set: Epoch: 33, Average loss: 0.0207, Accuracy: 0.3624, Time consumed:1.78s
Test set: Epoch: 34, Average loss: 0.0229, Accuracy: 0.3212, Time consumed:1.73s
Test set: Epoch: 35, Average loss: 0.0177, Accuracy: 0.4476, Time consumed:1.64s
Test set: Epoch: 36, Average loss: 0.0188, Accuracy: 0.4171, Time consumed:1.77s
Test set: Epoch: 37, Average loss: 0.0169, Accuracy: 0.4508, Time consumed:1.73s
Test set: Epoch: 38, Average loss: 0.0203, Accuracy: 0.3767, Time consumed:1.67s
Test set: Epoch: 39, Average loss: 0.0163, Accuracy: 0.4654, Time consumed:1.74s
Test set: Epoch: 40, Average loss: 0.0177, Accuracy: 0.4368, Time consumed:1.74s
Test set: Epoch: 41, Average loss: 0.0194, Accuracy: 0.4013, Time consumed:1.75s
Test set: Epoch: 42, Average loss: 0.0174, Accuracy: 0.4426, Time consumed:1.75s
Test set: Epoch: 43, Average loss: 0.0238, Accuracy: 0.3053, Time consumed:1.71s
Test set: Epoch: 44, Average loss: 0.0196, Accuracy: 0.3831, Time consumed:1.85s
Test set: Epoch: 45, Average loss: 0.0215, Accuracy: 0.3482, Time consumed:1.71s
Test set: Epoch: 46, Average loss: 0.0211, Accuracy: 0.3701, Time consumed:1.75s
Test set: Epoch: 47, Average loss: 0.0170, Accuracy: 0.4529, Time consumed:1.66s
Test set: Epoch: 48, Average loss: 0.0160, Accuracy: 0.4853, Time consumed:1.81s
Test set: Epoch: 49, Average loss: 0.0179, Accuracy: 0.4463, Time consumed:1.78s
Test set: Epoch: 50, Average loss: 0.0192, Accuracy: 0.4051, Time consumed:1.71s
Test set: Epoch: 51, Average loss: 0.0156, Accuracy: 0.4900, Time consumed:1.78s
Test set: Epoch: 52, Average loss: 0.0176, Accuracy: 0.4442, Time consumed:1.67s
Test set: Epoch: 53, Average loss: 0.0194, Accuracy: 0.3946, Time consumed:1.82s
Test set: Epoch: 54, Average loss: 0.0180, Accuracy: 0.4355, Time consumed:1.81s
Test set: Epoch: 55, Average loss: 0.0231, Accuracy: 0.3180, Time consumed:1.76s
Test set: Epoch: 56, Average loss: 0.0215, Accuracy: 0.3469, Time consumed:1.76s
Test set: Epoch: 57, Average loss: 0.0210, Accuracy: 0.3508, Time consumed:1.73s
Test set: Epoch: 58, Average loss: 0.0176, Accuracy: 0.4347, Time consumed:1.78s
Test set: Epoch: 59, Average loss: 0.0182, Accuracy: 0.4180, Time consumed:1.70s
Test set: Epoch: 60, Average loss: 0.0102, Accuracy: 0.6560, Time consumed:1.66s
Test set: Epoch: 61, Average loss: 0.0102, Accuracy: 0.6658, Time consumed:1.71s
Test set: Epoch: 62, Average loss: 0.0101, Accuracy: 0.6682, Time consumed:1.81s
Test set: Epoch: 63, Average loss: 0.0104, Accuracy: 0.6615, Time consumed:1.72s
