Test set: Epoch: 1, Average loss: 0.0314, Accuracy: 0.0951, Time consumed:1.69s
Test set: Epoch: 2, Average loss: 0.0285, Accuracy: 0.1507, Time consumed:1.88s
Test set: Epoch: 3, Average loss: 0.0258, Accuracy: 0.2015, Time consumed:1.79s
Test set: Epoch: 4, Average loss: 0.0231, Accuracy: 0.2798, Time consumed:1.75s
Test set: Epoch: 5, Average loss: 0.0218, Accuracy: 0.3072, Time consumed:1.85s
Test set: Epoch: 6, Average loss: 0.0205, Accuracy: 0.3402, Time consumed:1.80s
Test set: Epoch: 7, Average loss: 0.0204, Accuracy: 0.3626, Time consumed:1.70s
Test set: Epoch: 8, Average loss: 0.0200, Accuracy: 0.3657, Time consumed:1.64s
Test set: Epoch: 9, Average loss: 0.0191, Accuracy: 0.4017, Time consumed:1.64s
Test set: Epoch: 10, Average loss: 0.0189, Accuracy: 0.3985, Time consumed:1.63s
Test set: Epoch: 11, Average loss: 0.0174, Accuracy: 0.4378, Time consumed:1.67s
Test set: Epoch: 12, Average loss: 0.0180, Accuracy: 0.4335, Time consumed:1.61s
Test set: Epoch: 13, Average loss: 0.0168, Accuracy: 0.4678, Time consumed:1.64s
Test set: Epoch: 14, Average loss: 0.0177, Accuracy: 0.4467, Time consumed:1.82s
Test set: Epoch: 15, Average loss: 0.0165, Accuracy: 0.4766, Time consumed:1.75s
Test set: Epoch: 16, Average loss: 0.0171, Accuracy: 0.4597, Time consumed:1.71s
Test set: Epoch: 17, Average loss: 0.0172, Accuracy: 0.4552, Time consumed:1.65s
Test set: Epoch: 18, Average loss: 0.0165, Accuracy: 0.4783, Time consumed:1.66s
Test set: Epoch: 19, Average loss: 0.0165, Accuracy: 0.4730, Time consumed:1.66s
Test set: Epoch: 20, Average loss: 0.0170, Accuracy: 0.4552, Time consumed:1.97s
Test set: Epoch: 21, Average loss: 0.0160, Accuracy: 0.4913, Time consumed:1.60s
Test set: Epoch: 22, Average loss: 0.0165, Accuracy: 0.4732, Time consumed:1.71s
Test set: Epoch: 23, Average loss: 0.0155, Accuracy: 0.5056, Time consumed:1.66s
Test set: Epoch: 24, Average loss: 0.0168, Accuracy: 0.4679, Time consumed:1.70s
Test set: Epoch: 25, Average loss: 0.0158, Accuracy: 0.5001, Time consumed:1.82s
Test set: Epoch: 26, Average loss: 0.0157, Accuracy: 0.4995, Time consumed:1.86s
Test set: Epoch: 27, Average loss: 0.0157, Accuracy: 0.5065, Time consumed:1.72s
Test set: Epoch: 28, Average loss: 0.0160, Accuracy: 0.4987, Time consumed:1.63s
Test set: Epoch: 29, Average loss: 0.0171, Accuracy: 0.4792, Time consumed:1.67s
Test set: Epoch: 30, Average loss: 0.0153, Accuracy: 0.5208, Time consumed:1.69s
Test set: Epoch: 31, Average loss: 0.0158, Accuracy: 0.5034, Time consumed:1.63s
Test set: Epoch: 32, Average loss: 0.0158, Accuracy: 0.4984, Time consumed:1.66s
Test set: Epoch: 33, Average loss: 0.0157, Accuracy: 0.5049, Time consumed:1.63s
Test set: Epoch: 34, Average loss: 0.0167, Accuracy: 0.4766, Time consumed:1.57s
Test set: Epoch: 35, Average loss: 0.0153, Accuracy: 0.5191, Time consumed:1.62s
Test set: Epoch: 36, Average loss: 0.0154, Accuracy: 0.5166, Time consumed:1.59s
Test set: Epoch: 37, Average loss: 0.0153, Accuracy: 0.5119, Time consumed:1.71s
Test set: Epoch: 38, Average loss: 0.0157, Accuracy: 0.5073, Time consumed:1.62s
Test set: Epoch: 39, Average loss: 0.0155, Accuracy: 0.5267, Time consumed:1.72s
Test set: Epoch: 40, Average loss: 0.0151, Accuracy: 0.5322, Time consumed:1.83s
Test set: Epoch: 41, Average loss: 0.0152, Accuracy: 0.5309, Time consumed:1.87s
Test set: Epoch: 42, Average loss: 0.0157, Accuracy: 0.5072, Time consumed:1.72s
Test set: Epoch: 43, Average loss: 0.0155, Accuracy: 0.5096, Time consumed:1.97s
Test set: Epoch: 44, Average loss: 0.0179, Accuracy: 0.4478, Time consumed:1.84s
Test set: Epoch: 45, Average loss: 0.0155, Accuracy: 0.5126, Time consumed:1.62s
Test set: Epoch: 46, Average loss: 0.0149, Accuracy: 0.5282, Time consumed:1.69s
Test set: Epoch: 47, Average loss: 0.0160, Accuracy: 0.4953, Time consumed:1.67s
Test set: Epoch: 48, Average loss: 0.0157, Accuracy: 0.5030, Time consumed:1.69s
Test set: Epoch: 49, Average loss: 0.0173, Accuracy: 0.4601, Time consumed:1.66s
Test set: Epoch: 50, Average loss: 0.0152, Accuracy: 0.5213, Time consumed:1.75s
Test set: Epoch: 51, Average loss: 0.0142, Accuracy: 0.5522, Time consumed:1.64s
Test set: Epoch: 52, Average loss: 0.0161, Accuracy: 0.4977, Time consumed:1.68s
Test set: Epoch: 53, Average loss: 0.0160, Accuracy: 0.5033, Time consumed:1.95s
Test set: Epoch: 54, Average loss: 0.0147, Accuracy: 0.5438, Time consumed:1.94s
Test set: Epoch: 55, Average loss: 0.0147, Accuracy: 0.5290, Time consumed:1.81s
Test set: Epoch: 56, Average loss: 0.0158, Accuracy: 0.5162, Time consumed:1.70s
Test set: Epoch: 57, Average loss: 0.0157, Accuracy: 0.5047, Time consumed:1.94s
Test set: Epoch: 58, Average loss: 0.0151, Accuracy: 0.5254, Time consumed:1.57s
Test set: Epoch: 59, Average loss: 0.0151, Accuracy: 0.5201, Time consumed:1.87s
Test set: Epoch: 60, Average loss: 0.0105, Accuracy: 0.6830, Time consumed:1.99s
Test set: Epoch: 61, Average loss: 0.0101, Accuracy: 0.6926, Time consumed:1.66s
Test set: Epoch: 62, Average loss: 0.0101, Accuracy: 0.6926, Time consumed:1.61s
Test set: Epoch: 63, Average loss: 0.0099, Accuracy: 0.6920, Time consumed:1.55s
Test set: Epoch: 64, Average loss: 0.0104, Accuracy: 0.6906, Time consumed:1.61s
Test set: Epoch: 65, Average loss: 0.0102, Accuracy: 0.6917, Time consumed:1.80s
Test set: Epoch: 66, Average loss: 0.0103, Accuracy: 0.6899, Time consumed:1.67s
Test set: Epoch: 67, Average loss: 0.0103, Accuracy: 0.6869, Time consumed:1.62s
Test set: Epoch: 68, Average loss: 0.0104, Accuracy: 0.6864, Time consumed:1.74s
Test set: Epoch: 69, Average loss: 0.0107, Accuracy: 0.6728, Time consumed:1.76s
Test set: Epoch: 70, Average loss: 0.0103, Accuracy: 0.6877, Time consumed:2.05s
Test set: Epoch: 71, Average loss: 0.0106, Accuracy: 0.6783, Time consumed:1.74s
Test set: Epoch: 72, Average loss: 0.0108, Accuracy: 0.6770, Time consumed:1.69s
Test set: Epoch: 73, Average loss: 0.0109, Accuracy: 0.6724, Time consumed:1.91s
Test set: Epoch: 74, Average loss: 0.0107, Accuracy: 0.6742, Time consumed:1.65s
Test set: Epoch: 75, Average loss: 0.0106, Accuracy: 0.6778, Time consumed:1.70s
Test set: Epoch: 76, Average loss: 0.0107, Accuracy: 0.6700, Time consumed:1.68s
Test set: Epoch: 77, Average loss: 0.0107, Accuracy: 0.6772, Time consumed:1.54s
Test set: Epoch: 78, Average loss: 0.0110, Accuracy: 0.6676, Time consumed:1.70s
Test set: Epoch: 79, Average loss: 0.0106, Accuracy: 0.6806, Time consumed:1.67s
Test set: Epoch: 80, Average loss: 0.0106, Accuracy: 0.6804, Time consumed:1.69s
Test set: Epoch: 81, Average loss: 0.0107, Accuracy: 0.6761, Time consumed:1.67s
Test set: Epoch: 82, Average loss: 0.0108, Accuracy: 0.6799, Time consumed:1.66s
Test set: Epoch: 83, Average loss: 0.0114, Accuracy: 0.6620, Time consumed:1.72s
Test set: Epoch: 84, Average loss: 0.0107, Accuracy: 0.6793, Time consumed:1.63s
Test set: Epoch: 85, Average loss: 0.0110, Accuracy: 0.6657, Time consumed:1.59s
Test set: Epoch: 86, Average loss: 0.0106, Accuracy: 0.6759, Time consumed:1.79s
Test set: Epoch: 87, Average loss: 0.0105, Accuracy: 0.6832, Time consumed:1.74s
Test set: Epoch: 88, Average loss: 0.0112, Accuracy: 0.6616, Time consumed:1.74s
Test set: Epoch: 89, Average loss: 0.0111, Accuracy: 0.6649, Time consumed:1.69s
Test set: Epoch: 90, Average loss: 0.0107, Accuracy: 0.6788, Time consumed:1.76s
Test set: Epoch: 91, Average loss: 0.0106, Accuracy: 0.6849, Time consumed:1.69s
Test set: Epoch: 92, Average loss: 0.0113, Accuracy: 0.6664, Time consumed:1.80s
Test set: Epoch: 93, Average loss: 0.0111, Accuracy: 0.6692, Time consumed:1.62s
Test set: Epoch: 94, Average loss: 0.0106, Accuracy: 0.6826, Time consumed:1.63s
Test set: Epoch: 95, Average loss: 0.0105, Accuracy: 0.6785, Time consumed:1.77s
Test set: Epoch: 96, Average loss: 0.0112, Accuracy: 0.6640, Time consumed:1.78s
Test set: Epoch: 97, Average loss: 0.0114, Accuracy: 0.6595, Time consumed:1.64s
Test set: Epoch: 98, Average loss: 0.0110, Accuracy: 0.6713, Time consumed:1.85s
Test set: Epoch: 99, Average loss: 0.0106, Accuracy: 0.6702, Time consumed:1.87s
Test set: Epoch: 100, Average loss: 0.0112, Accuracy: 0.6668, Time consumed:1.72s
Test set: Epoch: 101, Average loss: 0.0107, Accuracy: 0.6923, Time consumed:1.73s
Test set: Epoch: 102, Average loss: 0.0115, Accuracy: 0.6568, Time consumed:1.82s
Test set: Epoch: 103, Average loss: 0.0116, Accuracy: 0.6616, Time consumed:1.63s
Test set: Epoch: 104, Average loss: 0.0105, Accuracy: 0.6861, Time consumed:1.74s
Test set: Epoch: 105, Average loss: 0.0108, Accuracy: 0.6747, Time consumed:1.80s
Test set: Epoch: 106, Average loss: 0.0114, Accuracy: 0.6618, Time consumed:1.82s
