Test set: Epoch: 1, Average loss: 0.0347, Accuracy: 0.0261, Time consumed:2.26s
Test set: Epoch: 2, Average loss: 0.0344, Accuracy: 0.0280, Time consumed:2.15s
Test set: Epoch: 3, Average loss: 0.0338, Accuracy: 0.0353, Time consumed:2.03s
Test set: Epoch: 4, Average loss: 0.0336, Accuracy: 0.0474, Time consumed:2.19s
Test set: Epoch: 5, Average loss: 0.0329, Accuracy: 0.0531, Time consumed:2.09s
Test set: Epoch: 6, Average loss: 0.0333, Accuracy: 0.0513, Time consumed:1.97s
Test set: Epoch: 7, Average loss: 0.0324, Accuracy: 0.0554, Time consumed:2.10s
Test set: Epoch: 8, Average loss: 0.0324, Accuracy: 0.0648, Time consumed:2.18s
Test set: Epoch: 9, Average loss: 0.0314, Accuracy: 0.0871, Time consumed:2.08s
Test set: Epoch: 10, Average loss: 0.0316, Accuracy: 0.0679, Time consumed:2.19s
Test set: Epoch: 11, Average loss: 0.0316, Accuracy: 0.0755, Time consumed:2.16s
Test set: Epoch: 12, Average loss: 0.0317, Accuracy: 0.0813, Time consumed:2.08s
Test set: Epoch: 13, Average loss: 0.0313, Accuracy: 0.0926, Time consumed:2.04s
Test set: Epoch: 14, Average loss: 0.0307, Accuracy: 0.0905, Time consumed:2.00s
Test set: Epoch: 15, Average loss: 0.0309, Accuracy: 0.0908, Time consumed:2.35s
Test set: Epoch: 16, Average loss: 0.0306, Accuracy: 0.0902, Time consumed:2.20s
Test set: Epoch: 17, Average loss: 0.0309, Accuracy: 0.0891, Time consumed:2.02s
Test set: Epoch: 18, Average loss: 0.0309, Accuracy: 0.0918, Time consumed:2.00s
Test set: Epoch: 19, Average loss: 0.0302, Accuracy: 0.1021, Time consumed:2.19s
Test set: Epoch: 20, Average loss: 0.0293, Accuracy: 0.1220, Time consumed:2.16s
Test set: Epoch: 21, Average loss: 0.0292, Accuracy: 0.1188, Time consumed:2.09s
Test set: Epoch: 22, Average loss: 0.0289, Accuracy: 0.1344, Time consumed:2.02s
Test set: Epoch: 23, Average loss: 0.0314, Accuracy: 0.0863, Time consumed:2.06s
Test set: Epoch: 24, Average loss: 0.0287, Accuracy: 0.1360, Time consumed:2.21s
Test set: Epoch: 25, Average loss: 0.0281, Accuracy: 0.1579, Time consumed:2.11s
Test set: Epoch: 26, Average loss: 0.0282, Accuracy: 0.1460, Time consumed:1.97s
Test set: Epoch: 27, Average loss: 0.0285, Accuracy: 0.1389, Time consumed:2.08s
Test set: Epoch: 28, Average loss: 0.0279, Accuracy: 0.1726, Time consumed:2.02s
Test set: Epoch: 29, Average loss: 0.0282, Accuracy: 0.1510, Time consumed:2.23s
Test set: Epoch: 30, Average loss: 0.0276, Accuracy: 0.1732, Time consumed:2.05s
Test set: Epoch: 31, Average loss: 0.0276, Accuracy: 0.1509, Time consumed:2.11s
Test set: Epoch: 32, Average loss: 0.0266, Accuracy: 0.1951, Time consumed:2.25s
Test set: Epoch: 33, Average loss: 0.0264, Accuracy: 0.2108, Time consumed:2.01s
Test set: Epoch: 34, Average loss: 0.0275, Accuracy: 0.1811, Time consumed:2.11s
Test set: Epoch: 35, Average loss: 0.0295, Accuracy: 0.1506, Time consumed:2.09s
Test set: Epoch: 36, Average loss: 0.0260, Accuracy: 0.2307, Time consumed:1.93s
Test set: Epoch: 37, Average loss: 0.0274, Accuracy: 0.1837, Time consumed:2.15s
Test set: Epoch: 38, Average loss: 0.0272, Accuracy: 0.1861, Time consumed:1.98s
Test set: Epoch: 39, Average loss: 0.0272, Accuracy: 0.1950, Time consumed:2.07s
Test set: Epoch: 40, Average loss: 0.0268, Accuracy: 0.2153, Time consumed:2.11s
Test set: Epoch: 41, Average loss: 0.0272, Accuracy: 0.1989, Time consumed:2.13s
Test set: Epoch: 42, Average loss: 0.0261, Accuracy: 0.2190, Time consumed:2.02s
Test set: Epoch: 43, Average loss: 0.0258, Accuracy: 0.2271, Time consumed:2.06s
Test set: Epoch: 44, Average loss: 0.0263, Accuracy: 0.2202, Time consumed:2.02s
Test set: Epoch: 45, Average loss: 0.0261, Accuracy: 0.2225, Time consumed:2.14s
Test set: Epoch: 46, Average loss: 0.0263, Accuracy: 0.2329, Time consumed:2.16s
Test set: Epoch: 47, Average loss: 0.0256, Accuracy: 0.2476, Time consumed:2.04s
Test set: Epoch: 48, Average loss: 0.0246, Accuracy: 0.2718, Time consumed:2.27s
Test set: Epoch: 49, Average loss: 0.0259, Accuracy: 0.2350, Time consumed:2.24s
Test set: Epoch: 50, Average loss: 0.0258, Accuracy: 0.2409, Time consumed:2.10s
Test set: Epoch: 51, Average loss: 0.0249, Accuracy: 0.2819, Time consumed:2.02s
Test set: Epoch: 52, Average loss: 0.0247, Accuracy: 0.2699, Time consumed:2.13s
Test set: Epoch: 53, Average loss: 0.0263, Accuracy: 0.2320, Time consumed:2.13s
Test set: Epoch: 54, Average loss: 0.0262, Accuracy: 0.2311, Time consumed:2.06s
Test set: Epoch: 55, Average loss: 0.0253, Accuracy: 0.2633, Time consumed:2.09s
Test set: Epoch: 56, Average loss: 0.0245, Accuracy: 0.2814, Time consumed:2.19s
Test set: Epoch: 57, Average loss: 0.0248, Accuracy: 0.2752, Time consumed:2.17s
Test set: Epoch: 58, Average loss: 0.0268, Accuracy: 0.2239, Time consumed:2.18s
Test set: Epoch: 59, Average loss: 0.0243, Accuracy: 0.2757, Time consumed:2.02s
Test set: Epoch: 60, Average loss: 0.0194, Accuracy: 0.4204, Time consumed:2.10s
Test set: Epoch: 61, Average loss: 0.0191, Accuracy: 0.4399, Time consumed:1.95s
Test set: Epoch: 62, Average loss: 0.0188, Accuracy: 0.4427, Time consumed:2.05s
Test set: Epoch: 63, Average loss: 0.0189, Accuracy: 0.4467, Time consumed:2.18s
Test set: Epoch: 64, Average loss: 0.0185, Accuracy: 0.4637, Time consumed:2.22s
Test set: Epoch: 65, Average loss: 0.0191, Accuracy: 0.4466, Time consumed:2.22s
Test set: Epoch: 66, Average loss: 0.0189, Accuracy: 0.4484, Time consumed:2.12s
Test set: Epoch: 67, Average loss: 0.0188, Accuracy: 0.4522, Time consumed:2.25s
Test set: Epoch: 68, Average loss: 0.0184, Accuracy: 0.4655, Time consumed:1.92s
Test set: Epoch: 69, Average loss: 0.0186, Accuracy: 0.4700, Time consumed:2.05s
Test set: Epoch: 70, Average loss: 0.0185, Accuracy: 0.4701, Time consumed:2.17s
Test set: Epoch: 71, Average loss: 0.0193, Accuracy: 0.4468, Time consumed:2.11s
Test set: Epoch: 72, Average loss: 0.0185, Accuracy: 0.4679, Time consumed:2.12s
Test set: Epoch: 73, Average loss: 0.0184, Accuracy: 0.4756, Time consumed:2.02s
Test set: Epoch: 74, Average loss: 0.0185, Accuracy: 0.4740, Time consumed:2.03s
Test set: Epoch: 75, Average loss: 0.0188, Accuracy: 0.4577, Time consumed:2.28s
Test set: Epoch: 76, Average loss: 0.0186, Accuracy: 0.4836, Time consumed:2.11s
Test set: Epoch: 77, Average loss: 0.0180, Accuracy: 0.4882, Time consumed:2.11s
Test set: Epoch: 78, Average loss: 0.0184, Accuracy: 0.4838, Time consumed:2.11s
Test set: Epoch: 79, Average loss: 0.0187, Accuracy: 0.4794, Time consumed:2.09s
Test set: Epoch: 80, Average loss: 0.0180, Accuracy: 0.4926, Time consumed:2.18s
Test set: Epoch: 81, Average loss: 0.0177, Accuracy: 0.5021, Time consumed:2.12s
Test set: Epoch: 82, Average loss: 0.0187, Accuracy: 0.4745, Time consumed:2.21s
Test set: Epoch: 83, Average loss: 0.0175, Accuracy: 0.5074, Time consumed:2.09s
Test set: Epoch: 84, Average loss: 0.0182, Accuracy: 0.4914, Time consumed:2.25s
Test set: Epoch: 85, Average loss: 0.0183, Accuracy: 0.4898, Time consumed:2.16s
Test set: Epoch: 86, Average loss: 0.0174, Accuracy: 0.5207, Time consumed:2.21s
Test set: Epoch: 87, Average loss: 0.0184, Accuracy: 0.4985, Time consumed:2.17s
Test set: Epoch: 88, Average loss: 0.0195, Accuracy: 0.4611, Time consumed:2.09s
Test set: Epoch: 89, Average loss: 0.0173, Accuracy: 0.5187, Time consumed:2.00s
